PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"64-6","F_761810_2954419","634 MEMORIAL DR",406,161,102,0.786,"126/161 nearby properties (78.6%); Code: Condominium","Condominium"
"65-3","F_762016_2955024","64 CHESTNUT ST",199,227,102,0.759,"172/227 nearby properties (75.9%); Code: Condominium","Condominium"
"65-8","F_762124_2954913","283 SIDNEY ST",199,208,102,0.798,"165/208 nearby properties (79.8%); Code: Condominium","Condominium"
"65-9","F_762097_2954877","289 SIDNEY ST",199,200,102,0.809,"161/200 nearby properties (80.9%); Code: Condominium","Condominium"
"65-10","F_762043_2954810","47 HENRY ST",199,182,102,0.853,"155/182 nearby properties (85.3%); Code: Condominium","Condominium"
"65-12","F_761956_2954881","57-59 HENRY ST",199,185,102,0.830,"153/185 nearby properties (83.0%); Code: Condominium","Condominium"
"65-45","F_762317_2954771","20 CHESTNUT ST",199,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-2","F_762317_2954771","20 CHESTNUT ST #2",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-3","F_762317_2954771","20 CHESTNUT ST #3",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-4","F_762317_2954771","20 CHESTNUT ST #4",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-5","F_762317_2954771","20 CHESTNUT ST #5",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-6","F_762317_2954771","20 CHESTNUT ST #6",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-7","F_762317_2954771","20 CHESTNUT ST #7",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-8","F_762317_2954771","20 CHESTNUT ST #8",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-10","F_762317_2954771","20 CHESTNUT ST #10",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-53","F_762317_2954771","20 CHESTNUT ST #53",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-56","F_762317_2954771","20 CHESTNUT ST #56",9705,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-45-P108","F_762317_2954771","20 CHESTNUT ST #P108",1028,116,102,0.558,"64/116 nearby properties (55.8%); Code: Condominium","Condominium"
"65-52","F_761931_2955137","308 BROOKLINE ST",199,232,102,0.723,"167/232 nearby properties (72.3%); Code: Condominium","Condominium"
"65-54","F_761865_2955068","318-320 BROOKLINE ST",199,106,102,0.511,"54/106 nearby properties (51.1%); Code: Condominium","Condominium"
"66-1","F_762348_2954961","272 SIDNEY ST",013,225,102,0.788,"177/225 nearby properties (78.8%); Code: Condominium","Condominium"
"66-53","F_762775_2955496","43 ALLSTON ST",199,66,102,0.623,"41/66 nearby properties (62.3%); Code: Condominium","Condominium"
"66-82","F_763409_2955349","66 ANGLIM ST",9420,14,942,0.444,"6/14 nearby properties (44.4%); Code: College or University","College or University"
"66-96","F_762805_2955571","204 SIDNEY ST",013,94,102,0.705,"66/94 nearby properties (70.5%); Code: Condominium","Condominium"
"66-99","F_763236_2955382","91 WAVERLY ST",9420,15,942,0.300,"4/15 nearby properties (30.0%); Code: College or University","College or University"
"66-106","F_762407_2955040","262 SIDNEY ST",199,206,102,0.776,"159/206 nearby properties (77.6%); Code: Condominium","Condominium"
